label,x1,x2
1.0,-2.7651, 2.7949
0.0, 0.2809,-0.8172
1.0,-2.3710, 3.7656
0.0, 0.2553,-0.8659
1.0,-0.1562,-3.0585
1.0,-1.2631, 1.7804
0.0,-0.0896, 1.4570
0.0, 1.7744, 2.0446
1.0, 0.0338, 2.0258
0.0,-1.7875,-0.2223
0.0, 0.7378, 1.1131
1.0,-2.1677, 0.5201
1.0, 2.4970, 1.5424
0.0,-0.6933, 0.6403
0.0,-0.2493,-2.0818
0.0, 0.2380, 0.4485
1.0, 4.1978,-1.0289
0.0, 0.6281,-0.4244
0.0,-0.2897,-0.6555
0.0,-0.6646, 0.5607
0.0, 0.5056, 1.9917
0.0, 0.2215, 0.4126
0.0, 2.4413,-1.9974
1.0, 2.6666, 0.1824
1.0,-1.8179,-2.8616
0.0,-1.6636,-0.5863
1.0, 3.3544, 2.0200
0.0, 1.5457,-0.8718
0.0,-1.2145,-0.1252
0.0, 0.5573, 0.6456
1.0,-0.2755, 1.5505
1.0, 1.1300, 2.6808
1.0,-3.9704,-1.5322
1.0, 0.2013,-4.3475
0.0,-0.1027, 0.9557
1.0,-1.5214, 0.8864
1.0,-2.4917,-3.2381
1.0,-2.9849,-2.0990
1.0,-1.5248, 3.8181
1.0,-4.1404, 0.1658
0.0, 2.0516, 0.1493
0.0,-0.2033,-1.2358
1.0, 3.6291,-2.2345
1.0, 1.6364,-2.7676
1.0, 3.7744, 3.6958
1.0,-2.2944,-1.6914
1.0, 2.9754, 1.3454
1.0, 0.9910, 1.5296
1.0, 3.4709, 1.0107
1.0, 3.9566, 0.2596
0.0,-0.0708,-0.1157
0.0, 0.5896,-0.0736
0.0,-1.2359, 0.1802
0.0,-0.9344, 0.6158
1.0,-2.6806,-1.6350
0.0,-1.2474,-2.2667
1.0, 2.6461,-1.5204
1.0,-4.4276,-0.2014
0.0, 1.2666,-1.4416
0.0, 1.2537,-0.2329
0.0, 0.5471,-0.3994
1.0, 1.3864,-4.3959
0.0,-1.9024, 0.1085
0.0, 0.1130, 0.6741
0.0,-0.4011, 1.5239
0.0,-0.9184, 1.4387
0.0,-0.0613,-0.4488
1.0,-5.3606, 0.5845
1.0, 4.3626, 2.0389
1.0, 0.0480,-3.6301
1.0, 5.3188, 0.4811
0.0,-0.4419, 0.8226
0.0, 0.2166,-1.1513
0.0,-0.7684, 0.2545
1.0, 3.2481, 0.1077
0.0, 1.5981,-1.0225
0.0,-0.0187, 0.5899
0.0,-0.5672,-1.4935
1.0,-4.6413, 0.7304
1.0,-1.0898,-0.6500
0.0, 0.0184,-0.7228
1.0, 0.1770,-2.1809
1.0, 1.3407,-2.9441
1.0,-1.1279,-3.1697
1.0,-2.8478, 3.1522
1.0, 1.4944, 2.0112
1.0,-4.2590,-2.3061
0.0,-1.1971, 0.0692
1.0, 2.3432, 3.9606
1.0, 3.8094,-0.1548
0.0,-0.3499, 0.8900
1.0, 1.9626, 1.5278
0.0, 0.3841, 0.5706
0.0,-0.3017,-0.7105
0.0, 1.0704, 1.6376
1.0, 4.0595,-4.1118
1.0,-4.2645,-1.9615
0.0,-0.0646, 2.6277
1.0, 3.3419, 1.0597
1.0, 1.1526,-2.6218
0.0,-0.8351,-0.3104
1.0,-2.8152,-1.5037
0.0,-0.0270,-1.3562
1.0,-0.6428, 4.5703
0.0, 0.2685, 0.0203
0.0, 0.9429,-0.5648
1.0,-2.9906,-0.2602
0.0,-0.0605,-1.0900
0.0, 0.6910,-0.5632
0.0,-1.1260,-1.3501
0.0, 0.7971, 1.2674
1.0,-4.4213,-3.6901
0.0,-0.1609,-1.2614
0.0,-1.4023, 0.8324
0.0,-1.2727,-0.6409
1.0, 0.8696, 2.9146
1.0, 2.0343, 3.4508
