label,x1,x2
1.0,-2.2723,11.1757
0.0,14.4426,-2.7949
1.0,-4.1228,11.9940
1.0,-3.8965,12.7796
0.0,12.0929,-6.9213
0.0,11.1000,-8.2754
1.0,-3.3218,-4.3132
1.0,-2.7239,13.0867
1.0,-3.0047,-5.2758
1.0,-11.8728, 9.8164
0.0, 8.4944,-10.2380
1.0,-0.9803,-7.6204
1.0,-3.2604,-3.8358
0.0,-1.5984,-11.1591
1.0,-12.0762, 4.7879
1.0, 8.5713, 9.3725
1.0, 7.8193, 9.4307
1.0,-14.0610, 1.7301
0.0,-10.3836, 0.0570
0.0, 1.1989,-13.0463
0.0, 7.6677,-11.4650
0.0, 4.7211,-11.2654
0.0,-7.5987,-7.0367
1.0, 7.4942, 9.5846
0.0,-10.5024,-4.1857
1.0, 9.9744, 1.6463
1.0,-2.1221,-5.6075
0.0,-3.4145,-10.9173
1.0, 8.5840, 5.9844
0.0, 8.6949,-11.4961
0.0, 0.4996, 6.8388
0.0,15.4768,-0.9873
0.0, 3.6240, 5.0418
1.0, 8.0406,-5.0340
0.0,10.6710,-8.2141
0.0,-3.0681,-10.5765
1.0,-1.4018,-6.1930
0.0, 3.6977, 2.1619
1.0,-3.3922,11.3962
1.0,-11.8636, 5.5887
0.0, 4.5140,-13.7497
1.0, 1.5772,13.2080
1.0, 6.9670,-5.8827
1.0, 9.4479,-0.9031
1.0, 5.2638,10.8358
1.0,-4.4578,-4.2811
1.0, 5.6461, 8.2289
0.0,-7.0425, 3.8405
1.0,-6.6440,11.7963
1.0, 5.4361, 7.2100
0.0,-3.9408, 6.0358
0.0,-9.3712,-5.0022
1.0, 9.1147, 0.2907
0.0, 1.9990,-13.9149
0.0,-4.9426,-10.3517
0.0, 7.5148,-12.2660
1.0,-10.3771, 8.5432
0.0,15.3634, 1.6730
0.0,10.7126,-6.0759
1.0, 7.0370, 9.3408
0.0, 3.0450,-13.6958
1.0,-10.6959, 9.8437
1.0,-13.1032, 0.0561
1.0,-9.0497,10.3826
0.0,-5.4659,-8.2808
0.0,-8.4100, 0.1662
0.0,-7.7308, 1.6676
0.0,13.7857,-5.7445
0.0,-8.8717,-3.4388
1.0,-0.9357,13.8524
1.0,-12.8972, 7.7045
1.0,-2.8845,14.5863
0.0,-5.6537,-8.9263
0.0,-9.5779, 1.9676
0.0,-4.5576,-9.3069
0.0,-7.2568,-8.1998
1.0, 3.4055,-6.5139
1.0, 9.9200, 1.0836
0.0, 5.6172,-10.4310
1.0,-3.4475,-1.3514
1.0, 2.6359,12.0882
0.0,-4.9379,-10.9842
0.0,-7.8402,-6.5062
0.0, 3.4407, 4.7795
0.0, 2.2848, 4.9139
1.0,-2.2357,-3.1845
1.0,-11.6816, 6.9894
0.0,-10.4341,-0.7539
1.0, 0.5172,14.4349
1.0, 7.7123,10.3244
0.0,-1.8719, 7.5295
0.0, 8.5966,-11.5181
0.0, 2.3640,-12.1654
1.0,-8.2513,10.3238
1.0,10.0130, 5.2542
1.0,-10.3180, 9.3804
1.0,-0.1352,12.8499
0.0, 9.8060,-9.6712
