label,x1,x2
1.0, 0.4889, 2.6352
0.0,-1.0602,-0.3527
1.0, 2.4526, 4.8672
1.0, 2.5567, 2.4259
0.0, 0.8607,-0.8568
1.0, 2.6533, 3.4537
1.0, 1.9746, 1.7537
1.0, 2.7851, 3.2443
0.0,-1.5087,-1.3567
1.0, 0.5116, 0.3608
0.0,-1.6429, 1.6444
1.0, 1.6645, 1.9083
1.0, 3.4836, 2.1888
0.0,-1.4224, 0.4064
0.0,-0.0590,-1.6136
1.0, 4.4502, 1.0961
0.0,-0.8965, 0.2098
1.0, 1.3997, 0.5275
1.0, 2.6730, 3.7493
1.0, 3.5632, 2.6587
0.0,-0.9133, 1.8659
1.0, 3.6944, 2.1917
0.0, 0.0261, 1.6455
0.0,-0.4390,-1.4608
0.0, 0.2919, 1.0788
1.0, 1.1921, 2.6204
1.0, 3.0164, 2.7287
1.0, 3.3492, 1.7703
1.0, 2.7056, 2.1603
0.0,-0.7244,-2.4259
1.0, 3.2435, 1.4517
1.0, 3.3063, 2.8276
0.0, 0.1921,-1.2235
0.0,-0.6588,-1.4360
1.0, 2.7456, 4.3536
0.0,-0.7762, 0.6920
1.0, 2.8756, 2.7875
1.0, 3.1102, 3.4942
0.0, 1.3773, 1.4651
0.0,-0.0836, 1.2156
0.0,-1.3437,-0.1211
1.0, 4.0648, 1.4090
0.0, 0.3159,-0.6141
1.0, 4.1497, 1.9148
1.0, 2.7627, 2.8442
1.0, 0.8771, 1.7620
0.0, 1.5885,-1.8804
0.0, 0.4710,-1.9192
0.0, 3.1297, 0.0201
1.0, 3.9053, 4.1383
0.0, 0.2689,-0.4799
0.0, 0.0550, 0.1292
1.0, 1.0211, 5.0923
0.0,-0.6418,-1.1809
1.0, 2.2932, 1.2332
0.0, 1.2586,-2.6655
1.0, 2.6515, 2.2272
1.0, 2.0033, 1.8622
1.0, 2.4890, 0.7328
1.0, 1.4534, 3.3559
1.0, 4.1220, 1.8927
0.0, 0.4640, 0.4366
0.0, 0.1556,-0.3026
1.0, 2.2082, 4.4310
1.0, 3.8044, 1.2576
0.0,-1.7116,-1.8769
0.0, 1.1776,-1.2163
0.0, 1.1395, 0.0582
1.0, 3.7668, 0.8788
