label,x1,x2
0.0,-0.9310, 0.9441
1.0, 0.6652, 0.0839
1.0,-0.5922,-1.6241
0.0, 1.7183,-0.1137
1.0,-0.5269,-1.3189
1.0,-1.5392,-1.1421
0.0,-0.2884, 0.7566
0.0,-0.1656, 0.5810
1.0,-1.9653,-1.4363
1.0, 0.8195, 1.3233
0.0,-1.2300, 1.8861
0.0,-0.3943, 1.0288
0.0,-0.2250, 0.8384
1.0, 1.4968, 0.0028
0.0,-0.2653, 0.0765
0.0, 1.0149,-0.6350
1.0,-1.0318,-0.4151
1.0, 1.0216, 1.2403
0.0,-0.1134, 1.7460
1.0, 0.6552, 1.5379
0.0,-0.2143, 0.1532
0.0, 1.3071,-0.3992
0.0, 0.8615,-1.1423
1.0,-0.2587,-0.2277
0.0, 1.1590,-0.1050
1.0, 0.4225, 1.4033
1.0,-1.4408,-0.9981
1.0,-1.0099,-0.7841
0.0, 0.3844,-1.1996
0.0, 0.5289,-0.1089
0.0, 0.7874,-1.0851
1.0, 0.4820, 0.8118
0.0,-0.3283, 1.6616
0.0, 0.1625,-2.2289
0.0, 0.9157,-1.7295
1.0,-0.1029,-0.6202
0.0, 0.1755,-0.8661
0.0, 0.4882,-0.0942
0.0,-0.7078, 0.0973
0.0, 0.4799,-0.1420
0.0, 0.0880,-0.0935
0.0, 0.5030,-0.0196
1.0, 2.0870, 0.8015
1.0,-0.8136,-0.3211
0.0,-0.0929, 1.1889
1.0, 0.3604, 0.7957
1.0, 0.3272, 0.8555
1.0, 0.6371, 1.5124
0.0,-0.1643, 0.2320
0.0, 1.1668,-0.1083
0.0, 1.4372,-0.4922
0.0,-0.7926, 0.2859
0.0,-3.0981, 0.0738
1.0,-0.4888,-1.2101
1.0,-0.8803,-1.3892
1.0,-0.5013,-0.1338
1.0,-0.5018,-0.4922
1.0,-0.0514,-1.1064
0.0,-0.3775, 0.4584
0.0, 0.6495,-0.4256
1.0, 1.0579, 0.8480
1.0, 1.0289, 0.7174
0.0, 0.6090,-0.0621
1.0, 0.2489, 1.6785
1.0,-0.5807,-0.2915
0.0,-0.4180, 1.0895
1.0,-0.9952,-0.6372
0.0,-2.1940, 1.2373
0.0,-0.6903, 0.6412
1.0, 0.8440, 0.2825
0.0,-0.8457, 0.1439
0.0, 0.4261,-1.1810
0.0, 0.3536,-1.3970
1.0, 0.2275, 0.6407
0.0,-1.0602, 0.6115
0.0, 0.9000,-0.3973
1.0,-0.8190,-0.2243
0.0,-0.7781, 1.5694
0.0, 0.4398,-0.2666
1.0, 0.3660, 1.3458
1.0, 0.4181, 1.2095
0.0, 0.3208,-0.5473
1.0, 0.2680, 1.3802
1.0, 1.3290, 0.0370
1.0, 0.9833, 0.2195
0.0,-1.7283, 1.1072
0.0,-0.8978, 0.1079
0.0, 0.2840,-0.7923
0.0,-0.4524, 0.3974
0.0, 1.5608,-1.7550
0.0,-0.0984, 0.5997
0.0, 0.2791,-1.4892
1.0,-1.5753,-1.0487
1.0,-0.2039,-0.2278
1.0,-0.6084,-0.2546
0.0,-0.6029, 1.2735
0.0, 0.3805,-0.2473
0.0,-1.0196, 0.3799
1.0, 0.1229, 0.3132
0.0, 0.2464,-0.3265
0.0, 0.7773,-0.1599
0.0,-0.0542, 1.5473
1.0,-1.0721,-0.0411
1.0,-0.1323,-2.4420
0.0,-0.2307, 1.4586
0.0, 1.8866,-0.4793
0.0, 1.5654,-0.2113
0.0,-1.6823, 0.3103
0.0,-0.6984, 0.1304
1.0, 0.3049, 0.0958
1.0, 0.5865, 0.7831
0.0, 1.1070,-1.1380
1.0,-1.0227,-0.3995
1.0,-1.0233,-0.7937
0.0,-0.3022, 1.9207
1.0, 0.0074, 0.0434
0.0, 0.5009,-0.6000
0.0, 0.7855,-1.2081
0.0, 0.2851,-0.0163
0.0,-0.9643, 1.0690
0.0, 2.6379,-1.0842
0.0,-2.6074, 1.0140
0.0, 1.7727,-0.5623
0.0, 1.4668,-1.5786
0.0, 0.1721,-0.4515
1.0,-0.4412,-0.1429
1.0, 1.2477, 0.4970
1.0,-1.2945,-1.5290
0.0,-1.5599, 1.5904
0.0, 1.4046,-0.2182
1.0, 1.5287, 1.3637
1.0,-0.8162,-1.0278
0.0,-0.3411, 0.3513
1.0, 0.9327, 1.3351
0.0, 2.0831,-0.3966
1.0, 1.8099, 0.6257
1.0,-1.1121,-0.2156
0.0,-0.2087, 1.3433
0.0, 1.5614,-0.7571
0.0,-0.9206, 0.2175
1.0,-0.1106,-0.1285
1.0, 0.7492, 1.8202
0.0, 0.5005,-1.8547
0.0,-0.7520, 1.1959
1.0,-0.7447,-0.5959
0.0, 0.2880,-0.6125
1.0,-1.5232,-0.3248
0.0,-1.5497, 0.1234
0.0,-0.8320, 2.7446
0.0,-2.1516, 1.4166
0.0,-0.0429, 0.3838
0.0,-0.2799, 0.5622
1.0,-2.5135,-0.8096
0.0, 1.2695,-0.1879
0.0,-0.1144, 1.6145
1.0,-0.7258,-1.5876
0.0,-1.2963, 0.5659
1.0,-0.8758,-0.2609
1.0, 0.2746, 0.8445
0.0,-0.2541, 0.1116
1.0,-0.0515,-2.0546
1.0,-3.2520,-1.3797
0.0,-1.4059, 2.1713
1.0,-0.2472,-0.5714
1.0,-0.4985,-0.4769
0.0,-1.4834, 0.9213
0.0, 0.0476,-1.1113
1.0,-2.8109,-0.6195
1.0,-1.1511,-0.8787
1.0, 0.0917, 1.6496
0.0, 1.0669,-0.0819
0.0,-1.0998, 0.2394
1.0, 1.0198, 1.2236
1.0,-2.1738,-1.5887
0.0, 0.6054,-1.9804
0.0,-3.6347, 0.5998
1.0,-0.0782,-0.2943
1.0,-1.5627,-0.9017
0.0,-0.7254, 0.8976
1.0, 0.9583, 0.2049
1.0,-1.0336,-0.8126
1.0, 0.3110, 0.7988
1.0,-0.4863,-1.0579
0.0, 1.2179,-0.0328
1.0,-1.9287,-1.1385
1.0, 0.3104, 0.1577
0.0, 0.3880,-0.4401
0.0, 1.0674,-0.2019
1.0, 1.4138, 0.8786
0.0, 1.0811,-0.0920
1.0, 1.4398, 1.5045
0.0,-0.7346, 0.7321
0.0,-1.0646, 0.1672
0.0, 0.2922,-0.6523
0.0,-1.1644, 3.9632
0.0,-0.9038, 1.5176
0.0, 0.6889,-0.3774
0.0,-1.7689, 0.1178
0.0, 0.7356,-0.2785
1.0, 0.7661, 0.5381
